epoch,train_loss,train_acc,val_loss,val_acc,val_acc_N,val_acc_S,val_acc_V,val_acc_F,val_acc_Q,learning_rate,time_elapsed
1,0.9719,56.97,1.3635,73.61,75.42,60.43,84.83,14.88,48.18,0.001463,903.0
2,0.8145,64.87,1.2736,80.68,83.69,62.11,87.75,2.48,47.44,0.001357,1809.3
3,0.7334,74.36,0.9023,75.70,76.41,68.11,86.15,47.11,60.79,0.001191,2726.3
4,0.6669,79.49,0.6816,81.98,82.76,74.10,86.52,53.72,72.76,0.000982,3649.2
5,0.6212,81.68,0.6757,87.27,88.62,61.63,89.16,32.23,84.08,0.000750,4492.9
6,0.5771,83.32,0.6758,81.22,80.66,75.06,90.01,44.63,86.75,0.000518,5433.8
7,0.5413,85.07,0.7182,83.45,83.55,75.54,91.42,47.11,81.20,0.000309,6419.0
8,0.5218,86.70,0.7156,84.34,84.54,67.15,93.12,42.98,84.51,0.000143,7368.2
9,0.4870,87.37,0.7897,87.77,88.89,58.27,92.84,40.50,85.15,0.000037,8329.0
10,0.4764,88.24,0.6537,86.66,87.06,70.02,92.37,52.89,86.11,0.001500,9290.0
