epoch,train_loss,train_acc,val_loss,val_acc,val_acc_N,val_acc_S,val_acc_V,val_acc_F,val_acc_Q,learning_rate,time_elapsed
1,0.7209,75.19,0.4781,91.06,91.94,65.71,85.49,66.12,99.04,0.001463,121.1
2,0.5104,86.92,0.4814,78.02,75.83,58.99,94.06,80.17,99.79,0.001357,294.6
3,0.4108,91.56,0.3300,85.32,83.95,84.41,91.23,86.78,98.61,0.001191,458.9
4,0.3709,93.02,0.2775,92.50,92.19,85.85,94.34,78.51,99.68,0.000982,580.4
5,0.3362,94.20,0.2855,96.36,96.93,72.90,97.36,79.34,99.68,0.000750,758.0
6,0.3179,94.90,0.2399,92.46,92.15,83.69,93.97,87.60,99.79,0.000518,880.5
7,0.2869,95.47,0.2617,96.17,96.44,81.77,97.17,79.34,99.79,0.000309,1015.9
8,0.2783,95.98,0.2408,97.13,97.59,82.01,97.27,79.34,99.47,0.000143,1143.7
