epoch,train_loss,train_acc,val_loss,val_acc,val_acc_N,val_acc_S,val_acc_V,val_acc_F,val_acc_Q,learning_rate,time_elapsed
1,0.9012,60.42,0.7527,81.22,81.50,73.86,80.96,9.09,90.06,0.001463,5788.8
2,0.5812,84.15,0.6429,94.69,97.20,58.99,82.85,59.50,92.20,0.001357,10580.8
3,0.4391,89.12,0.3907,92.93,93.66,72.18,89.54,74.38,97.86,0.001191,15270.1
4,0.3688,91.59,0.2532,91.62,91.35,85.61,92.27,88.43,97.97,0.000982,19946.3
5,0.3206,92.95,0.3288,95.07,95.50,85.61,92.84,74.38,98.29,0.000750,24622.7
6,0.2969,94.00,0.2438,94.23,94.19,83.69,97.08,80.17,98.08,0.000518,29354.2
7,0.2570,94.81,0.2476,94.49,94.51,81.06,97.55,82.64,98.18,0.000309,34075.6
8,0.2276,95.25,0.2195,94.90,94.81,88.01,96.23,84.30,99.04,0.000143,38871.8
9,0.2094,95.65,0.2088,95.80,95.88,86.57,96.61,85.12,99.15,0.000037,43708.9
10,0.1914,96.04,0.2034,95.73,95.77,86.81,96.89,85.95,99.15,0.001500,48523.0
11,0.3090,93.64,0.3022,93.87,93.85,87.53,93.87,77.69,98.93,0.001491,53571.3
