epoch,train_loss,train_acc,val_loss,val_acc,val_acc_N,val_acc_S,val_acc_V,val_acc_F,val_acc_Q,learning_rate,time_elapsed
1,0.7286,71.39,0.3780,84.25,82.87,77.94,95.66,74.38,95.41,0.001463,2575.8
2,0.3689,90.66,0.2644,89.62,88.65,82.01,96.80,85.95,99.36,0.001357,5064.1
3,0.2818,94.04,0.2491,88.96,87.77,93.53,94.63,81.82,98.72,0.001191,7374.9
4,0.2352,95.03,0.2087,96.46,96.64,88.97,96.32,80.99,99.25,0.000982,9755.8
5,0.1994,95.99,0.2371,97.41,97.87,87.53,96.61,75.21,99.04,0.000750,12067.9
6,0.1718,96.76,0.1683,97.20,97.34,90.89,97.46,85.95,99.25,0.000518,15726.7
7,0.1508,97.15,0.2054,97.23,97.42,92.09,97.36,75.21,99.47,0.000309,18044.2
