epoch,train_loss,train_acc,val_loss,val_acc,val_acc_N,val_acc_S,val_acc_V,val_acc_F,val_acc_Q,learning_rate,time_elapsed
1,0.6587,75.51,0.4792,84.93,83.88,87.77,91.89,33.88,97.54,0.001463,6289.6
2,0.3919,90.42,0.3840,81.45,79.41,91.85,91.42,71.07,96.37,0.001357,12563.2
3,0.3163,93.44,0.3032,95.36,95.60,85.85,97.08,63.64,98.40,0.001191,18718.2
4,0.2617,95.05,0.2666,92.78,92.19,91.61,97.74,69.42,99.15,0.000982,24918.6
5,0.2212,96.07,0.1842,95.98,95.92,93.05,96.98,80.99,99.04,0.000750,31139.0
