epoch,train_loss,train_acc,val_loss,val_acc,val_acc_N,val_acc_S,val_acc_V,val_acc_F,val_acc_Q,learning_rate,time_elapsed
1,0.8825,60.23,0.8037,94.11,98.41,42.45,72.57,7.44,90.38,0.001463,5022.2
2,0.5265,84.57,0.3574,87.25,86.31,77.94,96.14,78.51,96.15,0.001357,8276.5
3,0.3962,90.73,0.2737,91.07,90.74,81.53,93.59,85.95,97.97,0.001191,11473.0
4,0.3252,92.77,0.2979,95.95,96.98,84.65,88.97,85.12,95.51,0.000982,14769.8
5,0.2791,94.03,0.2035,94.98,95.02,88.49,94.82,85.95,98.61,0.000750,18162.8
6,0.2562,94.93,0.2178,95.29,95.26,85.85,97.46,81.82,99.15,0.000518,21812.3
7,0.2201,95.54,0.1866,95.36,95.34,85.85,97.74,83.47,98.72,0.000309,25303.4
